group,pixel_sha1,idx,relpath,class,file_sha1,excluded,group_size,label_consistent,n_file_sha1s,already_caught_by_file_sha1,n_folds_straddled,dev_straddles,corpus_fingerprint
8,5189f17e8235f444,454,pump_leakage/Screenshot 2026-05-05 140627.png,pump_leakage,85804c6c8e43b4adde2d174ce766eab755598290,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
9,7ab2135046d82303,119,gas_influence/Screenshot 2026-05-05 140658.png,gas_influence,5ff043ea3546230c4169b6cdf1d4904dac538114,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
9,7ab2135046d82303,694,vibration/Screenshot 2026-05-05 140658.png,vibration,5ff043ea3546230c4169b6cdf1d4904dac538114,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
10,9a3b2be0433e5e18,297,natural_flowing/6c1219e7-eb27-4eaa-9e3d-954f95a70d4f.png,natural_flowing,e8e3d46e39c7a54c8012b93aac15ce92e6e8f053,False,2,False,2,False,3,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
10,9a3b2be0433e5e18,655,vibration/Screenshot 2026-04-19 115549.png,vibration,be340e45d9f786165ee7e8df21e81b1232b4fdcd,False,2,False,2,False,3,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
11,c0f0235f51c8225e,386,natural_flowing/Screenshot 2026-05-05 140726.png,natural_flowing,ecedf37912cdcf8d8c1955b2583c79ff23bfe1a4,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
11,c0f0235f51c8225e,458,pump_leakage/Screenshot 2026-05-05 140726.png,pump_leakage,ecedf37912cdcf8d8c1955b2583c79ff23bfe1a4,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
12,d57fc07cd10a1a9e,103,gas_influence/Screenshot 2026-04-22 155204.png,gas_influence,70bf43d4b232d37f1f4ab57241eb1e3caf73fd74,True,3,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
12,d57fc07cd10a1a9e,160,gas_influence_and_vibration/Screenshot 2026-04-22 155204.png,gas_influence_and_vibration,70bf43d4b232d37f1f4ab57241eb1e3caf73fd74,True,3,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
12,d57fc07cd10a1a9e,673,vibration/Screenshot 2026-04-22 155204.png,vibration,70bf43d4b232d37f1f4ab57241eb1e3caf73fd74,True,3,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
13,d9df0a8cdf699906,299,natural_flowing/Screenshot 2026-04-04 171525.png,natural_flowing,96c3cfa70782e933bec47afa208a284a902fe2a9,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
13,d9df0a8cdf699906,515,severe_vibration/Screenshot 2026-04-04 171525.png,severe_vibration,96c3cfa70782e933bec47afa208a284a902fe2a9,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,f6813c6661e184b4,298,natural_flowing/Screenshot 2026-04-04 171417.png,natural_flowing,ae31473533414f2f3d1244117d4d0741703f8760,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,f6813c6661e184b4,514,severe_vibration/Screenshot 2026-04-04 171417.png,severe_vibration,ae31473533414f2f3d1244117d4d0741703f8760,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
