cluster,cluster_size,idx,relpath,class,sha1,label_consistent,n_folds_straddled,dev_straddles,corpus_fingerprint
15,9,177,gas_influence_and_vibration/Screenshot 2026-04-27 135524.png,gas_influence_and_vibration,bcf224364789d2e83570745e6d91e96eb6a10cc6,True,14,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
15,9,188,gas_influence_and_vibration/Screenshot 2026-05-01 090151.png,gas_influence_and_vibration,73c8398810513f18d56c7f3e9be1ea8cad280b79,True,14,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
16,2,150,gas_influence_and_vibration/Screenshot 2026-04-19 122122.png,gas_influence_and_vibration,dd5b5aea0e8c3d984a35e325ca6623f34ad04680,True,6,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
16,2,179,gas_influence_and_vibration/Screenshot 2026-04-27 205237.png,gas_influence_and_vibration,c5965f03c3cab534308db3edb152c92b82e73d6a,True,6,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
17,2,223,insufficient_liquid_supply_and_vibration/Screenshot 2026-04-18 134057.png,insufficient_liquid_supply_and_vibration,6624895b42b36324e99c83016d84b41c0751f464,True,5,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
17,2,279,insufficient_liquid_supply_and_vibration/Screenshot 2026-04-24 144323.png,insufficient_liquid_supply_and_vibration,83a5b299ae298bde624a600cfab1c1b21a267e31,True,5,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
18,2,249,insufficient_liquid_supply_and_vibration/Screenshot 2026-04-21 125019.png,insufficient_liquid_supply_and_vibration,25b8f93827f4e662c4968933b45d59dc7aa50f5f,True,6,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
18,2,285,insufficient_liquid_supply_and_vibration/Screenshot 2026-04-24 151930.png,insufficient_liquid_supply_and_vibration,2d1efca5da62256302ecd54203e652b12b5ea34a,True,6,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
19,2,289,insufficient_liquid_supply_and_vibration/Screenshot 2026-04-27 135518.png,insufficient_liquid_supply_and_vibration,20dcc6fda2d728e9902ec5f02d86b99f59da8f0c,False,6,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
19,2,499,severe_insufficient_liquid_supply/Screenshot 2026-04-24 144827.png,severe_insufficient_liquid_supply,d281a993fde960fe6cbb161f8ee0e469c63febdb,False,6,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
20,2,297,natural_flowing/6c1219e7-eb27-4eaa-9e3d-954f95a70d4f.png,natural_flowing,e8e3d46e39c7a54c8012b93aac15ce92e6e8f053,False,3,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
20,2,655,vibration/Screenshot 2026-04-19 115549.png,vibration,be340e45d9f786165ee7e8df21e81b1232b4fdcd,False,3,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,304,natural_flowing/Screenshot 2026-04-18 143416.png,natural_flowing,3a2d972f54ffbd0766c0f15cad28df7df6c8c5fb,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,306,natural_flowing/Screenshot 2026-04-19 115903.png,natural_flowing,a47e0f7c6279b2831a372376168f9590022e41fe,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,308,natural_flowing/Screenshot 2026-04-19 122020.png,natural_flowing,28a4af9e5502c6b1a438fcdc9b30d1a720bb9de7,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,309,natural_flowing/Screenshot 2026-04-19 122054.png,natural_flowing,ddced3ddd23c7b3dcc05b4a711f8157f70b3bc91,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,317,natural_flowing/Screenshot 2026-04-20 124434.png,natural_flowing,6201663b8b406d047b0d9246d50ba806a2f6b6d6,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,318,natural_flowing/Screenshot 2026-04-20 124649.png,natural_flowing,95eb3c5660113cd5408b95e9517796deac2b70f6,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,324,natural_flowing/Screenshot 2026-04-20 144458.png,natural_flowing,1aa17a6d629bb617fb63fe3f599a42aee29fba2e,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,328,natural_flowing/Screenshot 2026-04-21 130540.png,natural_flowing,faff63be325eced218049eafe68b036407ada239,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,360,natural_flowing/Screenshot 2026-04-26 125244.png,natural_flowing,de6eecae6c1630ba782f9f94f044b53e793b4adb,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,363,natural_flowing/Screenshot 2026-04-26 130408.png,natural_flowing,cf8618d0fcde2a3ec4fdf3f66724f39f7fcfba6d,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,366,natural_flowing/Screenshot 2026-04-26 131905.png,natural_flowing,8b1562b5a23df839fd6e7aee7ed35eaf610d728f,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,401,pump_leakage/Screenshot 2026-04-18 141323.png,pump_leakage,e27bdf39ffaf7213fb469297b2b21be4803d8e35,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,402,pump_leakage/Screenshot 2026-04-18 141352.png,pump_leakage,cf4b8a22d8649e09a1d5b2b95c52a8d54615bbd0,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,408,pump_leakage/Screenshot 2026-04-19 123456.png,pump_leakage,fcafecb77dc1c997b4bafb65f1032a10dedf48e0,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,419,pump_leakage/Screenshot 2026-04-21 133110.png,pump_leakage,7459d16a960f52df9a636c99678240cfe668741d,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,424,pump_leakage/Screenshot 2026-04-23 121233.png,pump_leakage,0065b2a10069cdf0e8f5ba6c2f40db108f323ef3,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,427,pump_leakage/Screenshot 2026-04-23 125156.png,pump_leakage,ba8456e76ea4b004446a054dece0d70e91b663d2,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,430,pump_leakage/Screenshot 2026-04-24 144736.png,pump_leakage,ef2be5347e97bf9c2bb4a9743be97b86a7eafa25,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,432,pump_leakage/Screenshot 2026-04-24 145222.png,pump_leakage,2da316f9aa779da75a9755a3efb94401e89bb760,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,436,pump_leakage/Screenshot 2026-04-26 125308.png,pump_leakage,da04ec5d1ca14e760b129dd2aebd384b929eb111,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,437,pump_leakage/Screenshot 2026-04-26 131226.png,pump_leakage,d80e92e4e5fc51201a34d62491ca7cd05e9bdd74,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,450,pump_leakage/Screenshot 2026-04-27 205212.png,pump_leakage,fa5106827fc4c23484ff3b0fd04c35962a3d98e4,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,451,pump_leakage/Screenshot 2026-04-27 205225.png,pump_leakage,a6b8f81ceb57da1a4dcd2da1115600cec22a4d1a,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,524,severe_vibration/Screenshot 2026-04-07 081940.png,severe_vibration,98fb49026e01731b17338ad01c852aca3fb978d4,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,530,severe_vibration/Screenshot 2026-04-18 134008.png,severe_vibration,b65162a20951c98e0156e8a275d1a6664529745a,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,531,severe_vibration/Screenshot 2026-04-18 134047.png,severe_vibration,692d57ea151edc8f5a2da9c0bcf59380061cf6f7,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,536,severe_vibration/Screenshot 2026-04-18 135707.png,severe_vibration,0b778e3eddcbea07b27c1ab42bb85234d276ba47,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,545,severe_vibration/Screenshot 2026-04-18 143509.png,severe_vibration,2a0ff3f6061db25d85f3bd6cc9cfe2373e23d791,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,553,severe_vibration/Screenshot 2026-04-19 115442.png,severe_vibration,0eaf07df491fba8abcf53212b74559808fe9d7b4,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,576,severe_vibration/Screenshot 2026-04-20 144521.png,severe_vibration,ff7a89b7bae0da59234acc10b9c6d23ece8e2800,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,578,severe_vibration/Screenshot 2026-04-21 123533.png,severe_vibration,c7bc487a2f5ceb57ef8716ee903bdba74ff742f9,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,603,severe_vibration/Screenshot 2026-04-23 115944.png,severe_vibration,1fc5d04337d46916cb0e5e43f0476d6ffca5e945,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,605,severe_vibration/Screenshot 2026-04-23 121127.png,severe_vibration,57e0fa3542c1e3cacfd6268bc078c9a7063f3e1a,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,610,severe_vibration/Screenshot 2026-04-23 123053.png,severe_vibration,1297f076c82b7b4220700d29e5355f29c4a4073d,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,628,severe_vibration/Screenshot 2026-04-24 152402.png,severe_vibration,1b0819a694eceb7ac56e41851e35c1e548a23e0a,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,638,severe_vibration/Screenshot 2026-05-01 085823.png,severe_vibration,0e35b7c26909ebe4823bae8cc4e8a4da50521af1,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
21,37,639,severe_vibration/Screenshot 2026-05-01 085915.png,severe_vibration,1480d125a3bfa312b500a55e5ef457a2c0c26892,False,15,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
22,2,330,natural_flowing/Screenshot 2026-04-21 133521.png,natural_flowing,e770056ed7d61e3950ff27fac101014379f3d83a,False,6,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
22,2,643,severe_vibration/Screenshot 2026-05-01 090410.png,severe_vibration,45b1e86edfd1638911c0b5c33683b6eadfd3c85c,False,6,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
23,4,342,natural_flowing/Screenshot 2026-04-22 154744.png,natural_flowing,586aacc43ffd4326584d2e54e1ef46a50f906dc5,True,9,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
23,4,346,natural_flowing/Screenshot 2026-04-22 155106.png,natural_flowing,30f728211b05c5d7254716cbfe33bce27ef914d6,True,9,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
23,4,347,natural_flowing/Screenshot 2026-04-22 155125.png,natural_flowing,4da038efa42a0030a3ae93411b9774c8413a98cc,True,9,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
23,4,369,natural_flowing/Screenshot 2026-04-27 094053.png,natural_flowing,aa7b01af682d4ed41c9e1648bbdc2d54ee0f1113,True,9,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
24,2,387,natural_flowing/Screenshot 2026-05-05 141934.png,natural_flowing,ebb2395f3e9b8f0a9c1b2bc39970708b3bf50935,False,3,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
24,2,415,pump_leakage/Screenshot 2026-04-21 125243.png,pump_leakage,7db5067d42405866cb147b55aecebf05dac182e2,False,3,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
25,2,409,pump_leakage/Screenshot 2026-04-20 113234.png,pump_leakage,e82225ebe14340699bf4e3ca195406c0bd0ea090,False,2,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
25,2,630,severe_vibration/Screenshot 2026-04-27 095056.png,severe_vibration,82799f6d538f04ce4ea902eb9a1e8e99bd7ec74d,False,2,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
26,2,416,pump_leakage/Screenshot 2026-04-21 130546.png,pump_leakage,16be098a1cc1c5f61ea13bb187b63fc5bcc6a8f1,False,2,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
26,2,601,severe_vibration/Screenshot 2026-04-23 115905.png,severe_vibration,5024e250e8f6b7de1d3914087193c41fc3943b96,False,2,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
27,3,449,pump_leakage/Screenshot 2026-04-27 205138.png,pump_leakage,1a5a2e4fc2b6b857c13ab76b1f5fc3a98666ab9f,False,8,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
27,3,479,severe_insufficient_liquid_supply/Screenshot 2026-04-18 141220.png,severe_insufficient_liquid_supply,0ac963cf5ddfe69d96779a2415cb7611fa82deae,False,8,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
27,3,492,severe_insufficient_liquid_supply/Screenshot 2026-04-20 144437.png,severe_insufficient_liquid_supply,30462b56a0e2513aeb33d80dd353446ba13f0352,False,8,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
28,2,464,severe_insufficient_liquid_supply/IMG_20260524_100518.jpg,severe_insufficient_liquid_supply,1deece591ce23c33d7484cef6861fc1e977b2965,True,4,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
28,2,465,severe_insufficient_liquid_supply/IMG_20260524_100535.jpg,severe_insufficient_liquid_supply,fa7388c0312f9506be62800140ca77b02acf3dc0,True,4,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
29,3,467,severe_insufficient_liquid_supply/IMG_20260524_100619.jpg,severe_insufficient_liquid_supply,75e2aa0c0756c87387bc1f0ca04e5d597ad87551,True,7,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
29,3,476,severe_insufficient_liquid_supply/Screenshot 2026-04-18 131557.png,severe_insufficient_liquid_supply,fd38114faed6189c4109c508e03f6dc4cba9f0ed,True,7,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
29,3,509,severe_insufficient_liquid_supply/Screenshot 2026-04-30 112130.png,severe_insufficient_liquid_supply,924e7328c18382a5f10bcf8eab3358ad97f52b84,True,7,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
30,2,555,severe_vibration/Screenshot 2026-04-19 115845.png,severe_vibration,6c808f706e3e344ff8adad21a83ced5dda2576e1,True,5,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
30,2,624,severe_vibration/Screenshot 2026-04-24 144815.png,severe_vibration,210dfabd6bf895f64bd86847512814c663fb75d2,True,5,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
31,3,622,severe_vibration/Screenshot 2026-04-24 144417.png,severe_vibration,71d62f91edad07970de01c8c09db0bea6fd743d5,False,6,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
31,3,645,vibration/Screenshot 2026-04-18 134015.png,vibration,5966517ab9afbbbeda43ff148a88e3b43d94c2ec,False,6,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
31,3,647,vibration/Screenshot 2026-04-18 135615.png,vibration,4ad5db120a23de3a4071b30f9e0f6eb7f1691f3a,False,6,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
32,2,632,severe_vibration/Screenshot 2026-04-27 101113.png,severe_vibration,e6fd8165b0d5aec4d060b4637112110f098bba51,False,4,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
32,2,660,vibration/Screenshot 2026-04-21 125025.png,vibration,8f4e4ac7e80a26e41608e3b66e3e89160af08c8a,False,4,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
33,2,656,vibration/Screenshot 2026-04-19 115635.png,vibration,4aafa06d0f4089cfe46927d73f6ec750da860c2b,True,4,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
33,2,684,vibration/Screenshot 2026-04-26 131840.png,vibration,9b1b53cc71b9c6e063c8ac1f6a7a94a7bf5697ea,True,4,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
